island_id,start_location,end_location,peak_amplitude,average_y,pattern_width,center_location,mean_slope,max_slope,area_under_curve,distance_difference,date,global_id,match_confidence,risk_score
10,194700.4,194756.0,6.175519870113787,5.19422528068154,55.60000000000582,194735.78181818183,0.08929876084808348,0.20717007378834001,289.6388746163491,0.2643828585414312,2021-07-15,IS_0030,0.996546762590029,0.16910729491355486
5,188915.4,189013.6,6.063809240223104,4.458358728105335,98.20000000001164,189000.70505050506,0.03806538248471913,0.12114771015786074,437.7667413919386,0.09918284270156619,2021-07-15,IS_0031,0.9979633401221998,0.18190786105656276
7,192733.8,192792.0,3.7225212263604694,3.5208198404706708,58.20000000001164,192760.25454545455,0.02026623599311475,0.057806687208138266,205.1387320852276,0.0165770822755249,2021-07-15,IS_0032,0.9987628865979737,0.1940976839962945
1,145864.8,145899.6,4.164055624513922,4.033910576539403,34.80000000001746,145881.67272727273,0.02219081734116215,0.04500938909307566,140.469615160939,0.01117949797119877,2021-07-15,IS_0086,0.9963218390804318,0.20736569943859015
2,147343.6,147396.4,7.253717111199312,6.072556078424121,52.79999999998836,147368.13333333333,0.13134490350308056,0.3141405277081005,321.8442781533636,0.5949891722671268,2021-08-12,IS_0016,0.9996969696970005,0.24407525000938854
3,148605.6,148665.0,3.7607266850947263,3.461071395048289,59.39999999999418,148619.4,0.018985855211403755,0.053648799961662434,205.63573155148654,0.013854848875055836,2021-08-12,IS_0017,0.999461279461295,0.21712975869560747
4,154398.8,154435.0,6.1692002175726675,5.569445421804314,36.20000000001164,154421.10505050505,0.09003269084039095,0.20793181766038654,201.988836166881,0.17310938138002285,2021-08-12,IS_0018,1.0,0.18352100183591108
6,166978.2,167019.2,3.663514246679931,3.3526764469128487,41.0,166978.2,0.011040344267255545,0.025450296775340282,137.41628394830576,0.001610390010341689,2021-08-12,IS_0019,0.9890196078429194,0.20684446690431435
8,191692.2,191729.8,4.601053136956653,4.278038214901193,37.59999999997672,191712.70909090908,0.050210816873543875,0.10764923942534457,161.08894658384622,0.06084030482236358,2021-08-12,IS_0021,0.9995721925133503,0.16206669829931042
14,194557.0,194618.8,5.617550730901992,4.854278268458156,61.79999999998836,194593.20606060605,0.06902772557560312,0.17002008344922676,300.84564627425635,0.19060938362893864,2021-08-12,IS_0024,1.0,0.16377820670062776
